GT x LR,GT x Att,GT x LIG,GT x LIME,GT x LxA,,LR x Att,LR x LIG,LR x LIME,LR x LxA,,Att x LIG,Att x LIME,Att x LxA,,LIG x LIME,LIG x LxA,,LIME x LxA
superficial,redundant,superficial,sharply,superficial,,wit,parental,characters,parental,,wit,human,filmmakers,,new,parental,,new
depressed,succeeds,depressed,touching,redundant,,human,wit,something,only,,filmmakers,emotional,too,,contains,new,,something
redundant,crude,redundant,historically,succeeds,,filmmakers,and,beautiful,and,,too,poetry,demonstrates,,characters,characters,,nature
succeeds,proves,succeeds,wisdom,crude,,too,characters,human,characters,,demonstrates,deeply,of,,nature,nature,,beautiful
crude,vivid,crude,fluid,sharply,,demonstrates,beautiful,remain,something,,emotional,goes,poetry,,beautiful,and,,characters
oblivious,pointless,sharply,seal,recycled,,of,utterly,could,beautiful,,most,intelligence,most,,rather,beautiful,,remain
sharply,touching,recycled,reveals,proves,,intelligence,remain,merit,remain,,deeply,casting,deeply,,throughout,remain,,could
recycled,emptiness,proves,epic,vivid,,redundant,filmmakers,director,filmmakers,,goes,actress,more,,remain,filmmakers,,worst
proves,wisdom,vivid,considerable,touching,,succeeds,up,games,up,,intelligence,performances,goes,,worst,up,,treatment
vivid,masterpiece,pointless,essentially,emptiness,,casting,superficial,thought,could,,redundant,comes,intelligence,,emotional,worst,,film
pointless,hopeless,touching,pale,woven,,actress,too,bad,superficial,,succeeds,cast,redundant,,film,superficial,,still
touching,clumsy,emptiness,intelligent,cruel,,performances,patriot,greatest,too,,casting,cinema,succeeds,,small,tragic,,small
emptiness,conviction,woven,backward,historically,,enriched,director,intelligence,patriot,,performances,plot,actress,,director,too,,games
woven,realistic,cruel,powerful,wisdom,,cinema,demonstrates,casting,director,,enriched,finish,comes,,personal,patriot,,director
cruel,reveals,historically,torture,fluid,,plot,suicidal,actress,demonstrates,,cast,interest,enriched,,deeply,demonstrates,,personal
historically,uneven,wisdom,offensive,casts,,storyline,depressed,face,of,,cinema,sit,cast,,goes,film,,poetry
